Height,Age,Income,RomanticGestureScore,CompatibilityScore,CommunicationScore,DistanceKM,Response,AgeCategory
196,49,37718,3,1,6,89,1,Middle-aged
179,23,35538,3,7,1,46,1,Young
155,77,23159,7,10,4,97,1,Senior
142,18,41493,3,0,10,31,1,Young
153,41,18070,9,7,3,21,1,Middle-aged
194,69,25329,0,4,7,9,1,Senior
188,50,11737,0,7,9,4,0,Middle-aged
158,35,14871,5,6,7,72,1,Young
175,33,17815,5,6,6,11,1,Young
178,81,38139,2,9,3,13,1,Senior
149,57,31169,5,9,10,85,1,Middle-aged
165,84,24996,7,10,5,40,1,Senior
198,70,40329,8,4,8,30,1,Senior
153,37,30628,2,0,10,16,0,Middle-aged
188,69,16894,7,9,4,91,1,Senior
199,62,41083,3,9,6,84,1,Senior
170,88,40242,1,10,3,48,1,Senior
182,68,22492,5,2,10,7,0,Senior
141,51,35701,1,3,6,38,0,Middle-aged
178,90,46123,1,8,4,58,0,Senior
156,78,12749,7,6,4,77,1,Senior
161,19,11937,9,7,2,2,1,Young
164,51,43371,1,8,4,54,1,Middle-aged
194,37,18266,4,3,1,37,0,Middle-aged
171,61,9800,6,7,9,42,1,Senior
161,78,38603,4,9,6,92,1,Senior
194,76,18666,5,9,4,68,1,Senior
163,86,23876,4,8,2,36,1,Senior
185,45,47070,4,4,2,74,1,Middle-aged
189,54,45957,9,2,5,82,0,Middle-aged
179,83,21679,2,9,8,76,1,Senior
164,78,33131,6,0,7,69,1,Senior
168,22,44491,6,1,0,57,1,Young
166,89,17195,5,4,10,41,1,Senior
165,51,41182,8,3,5,98,1,Middle-aged
196,40,44663,5,8,1,30,1,Middle-aged
198,46,19607,1,5,2,47,1,Middle-aged
163,22,47774,10,4,5,82,1,Young
145,20,40725,4,7,5,91,1,Young
158,43,38012,9,8,1,19,1,Middle-aged
197,85,17440,3,6,5,47,1,Senior
163,63,18714,0,6,10,60,1,Senior
142,68,15698,4,4,8,15,1,Senior
184,44,7648,6,1,4,63,1,Middle-aged
143,75,25866,9,2,5,97,1,Senior
151,81,19827,5,0,6,16,1,Senior
164,46,23449,1,9,3,5,1,Middle-aged
159,42,38456,0,2,3,44,0,Middle-aged
184,21,12250,6,9,3,74,1,Young
188,46,12826,10,2,8,25,1,Middle-aged
191,55,46049,4,6,7,38,1,Middle-aged
143,90,40976,9,1,5,80,1,Senior
174,55,41389,9,3,7,92,1,Middle-aged
192,90,30971,9,5,5,80,1,Senior
141,32,12732,6,6,2,64,1,Young
161,48,31197,0,8,3,12,1,Middle-aged
142,88,44069,3,8,0,41,0,Senior
140,22,30913,3,10,2,49,1,Young
155,80,29172,2,3,8,39,0,Senior
169,42,21481,6,4,7,57,0,Middle-aged
198,87,14257,3,10,6,26,1,Senior
163,70,30736,7,9,7,13,1,Senior
162,73,27945,7,9,9,77,1,Senior
142,30,32592,8,2,3,58,1,Young
183,89,17153,1,9,7,75,1,Senior
152,28,48058,1,10,6,67,0,Young
141,55,17621,4,2,10,75,0,Middle-aged
181,89,6547,1,6,3,17,1,Senior
149,65,6013,4,6,2,20,1,Senior
146,19,44752,5,0,10,45,0,Young
157,68,5553,1,1,1,87,0,Senior
146,22,48395,4,4,10,99,1,Young
170,82,26130,2,3,3,59,1,Senior
147,64,16534,8,3,4,38,0,Senior
148,37,23796,10,9,10,50,1,Middle-aged
166,86,31099,8,4,10,96,1,Senior
149,85,43715,7,10,10,60,1,Senior
188,69,6970,8,9,5,1,1,Senior
193,41,41768,10,1,5,8,0,Middle-aged
154,40,10907,7,3,6,99,0,Middle-aged
160,65,15282,2,2,8,35,1,Senior
140,77,23524,1,10,3,18,1,Senior
191,27,11609,8,3,0,54,1,Young
195,77,5917,7,1,9,16,1,Senior
158,47,32211,1,0,7,76,1,Middle-aged
167,72,9575,4,2,9,87,0,Senior
187,29,30874,0,0,2,100,1,Young
151,45,17712,5,8,7,54,1,Middle-aged
181,31,31833,7,10,1,61,1,Young
183,48,41116,0,1,2,11,0,Middle-aged
153,29,13158,5,8,4,12,1,Young
151,38,16022,6,0,3,37,0,Middle-aged
186,62,36546,3,4,8,55,0,Senior
154,37,21253,4,3,3,82,0,Middle-aged
145,56,33913,7,9,0,34,1,Middle-aged
165,46,5003,2,7,9,51,1,Middle-aged
168,81,12278,4,9,4,32,1,Senior
165,37,31866,1,6,0,6,0,Middle-aged
169,26,45549,8,5,9,52,1,Young
172,75,42392,5,3,9,84,1,Senior
145,83,28572,2,4,0,85,1,Senior
161,59,26343,8,10,3,58,1,Middle-aged
160,57,30423,3,1,2,72,0,Middle-aged
162,53,16972,0,2,9,8,0,Middle-aged
143,79,17368,2,0,5,9,0,Senior
189,31,5168,0,5,10,96,1,Young
182,27,25879,4,3,0,17,0,Young
183,85,41397,5,7,5,29,1,Senior
166,20,15148,1,6,5,13,1,Young
196,32,19387,2,6,0,21,1,Young
157,65,24707,1,7,2,93,0,Senior
173,43,45489,4,0,10,83,0,Middle-aged
187,78,23469,8,6,1,14,1,Senior
186,26,5749,3,10,8,24,1,Young
159,37,22207,4,1,2,80,1,Middle-aged
196,51,44603,0,7,1,44,1,Middle-aged
198,79,16077,4,9,7,18,1,Senior
155,90,39886,4,6,1,85,0,Senior
171,67,12789,8,9,1,16,1,Senior
199,75,34184,10,1,10,48,0,Senior
195,81,27657,2,3,4,1,1,Senior
198,83,31901,10,2,5,4,1,Senior
168,49,19540,7,7,5,95,1,Middle-aged
179,67,10139,3,1,2,9,1,Senior
178,64,47063,1,5,8,98,0,Senior
193,75,21908,2,6,4,82,1,Senior
176,24,24200,7,2,5,87,1,Young
155,81,37473,3,1,8,66,1,Senior
192,83,39080,5,2,6,62,0,Senior
163,28,30198,9,6,6,28,1,Young
170,61,16819,3,5,2,80,1,Senior
145,80,41846,4,4,0,61,0,Senior
160,73,24618,5,1,0,45,1,Senior
175,87,33274,0,5,8,30,0,Senior
162,83,39503,7,10,8,41,1,Senior
172,38,18409,6,3,0,60,0,Middle-aged
153,19,26061,2,4,4,66,0,Young
191,44,19418,10,1,3,4,0,Middle-aged
180,84,34960,2,0,2,82,0,Senior
151,20,9276,9,0,6,26,0,Young
158,53,35881,2,9,3,96,1,Middle-aged
161,23,25487,2,5,3,94,1,Young
152,32,13614,5,7,2,21,1,Young
173,78,14876,9,5,7,45,1,Senior
167,47,29524,7,5,9,23,1,Middle-aged
168,48,29162,10,4,6,12,1,Middle-aged
194,26,6913,6,9,3,70,1,Young
162,22,44626,4,5,7,42,0,Young
162,52,22955,9,2,8,25,0,Middle-aged
182,24,35079,10,0,8,100,1,Young
168,63,18091,8,8,5,1,1,Senior
168,88,29059,5,10,9,30,1,Senior
177,30,29846,5,7,9,25,1,Young
167,60,40339,0,2,1,62,1,Senior
163,36,38580,5,10,0,95,1,Middle-aged
172,30,14292,5,5,0,2,1,Young
194,31,24361,5,6,9,5,1,Young
200,30,18871,10,7,9,27,1,Young
180,70,42526,7,4,9,8,1,Senior
169,80,6599,7,9,1,25,1,Senior
198,28,35470,0,5,10,54,1,Young
189,47,15018,1,9,6,6,1,Middle-aged
183,21,5948,7,5,0,63,1,Young
177,66,35516,9,10,7,1,1,Senior
163,36,30985,5,1,6,17,1,Middle-aged
153,60,36004,9,9,1,67,1,Senior
162,20,39617,6,3,9,36,0,Young
156,72,48857,8,4,4,3,1,Senior
179,88,41843,0,0,8,79,0,Senior
148,35,48283,2,10,0,84,1,Young
162,25,45776,10,8,5,82,1,Young
162,53,8997,2,2,5,83,0,Middle-aged
160,61,15416,2,5,1,28,0,Senior
151,72,43772,2,6,8,70,0,Senior
195,45,28785,7,8,1,26,1,Middle-aged
160,89,7107,7,3,10,71,0,Senior
146,80,26590,5,9,6,11,1,Senior
142,35,12924,1,1,9,56,1,Young
148,44,7387,2,0,4,44,1,Middle-aged
181,59,11436,0,0,8,2,0,Middle-aged
189,75,21173,0,6,1,12,1,Senior
185,32,47300,5,6,0,52,1,Young
152,24,47932,4,10,1,65,1,Young
177,26,44048,8,10,9,80,1,Young
170,63,10336,5,1,5,10,1,Senior
153,65,6788,10,10,10,41,1,Senior
169,20,34362,9,5,9,60,1,Young
155,75,42266,2,8,3,46,1,Senior
193,76,20890,2,9,10,19,0,Senior
155,77,30807,7,4,2,92,1,Senior
144,71,43706,1,8,7,9,1,Senior
162,71,9625,4,8,8,90,0,Senior
155,49,44726,0,9,4,65,0,Middle-aged
189,31,23005,3,10,5,47,1,Young
155,69,5930,5,5,2,52,1,Senior
167,60,27233,0,7,0,34,1,Senior
198,37,33285,10,1,0,70,0,Middle-aged
159,85,49780,6,10,8,88,1,Senior
152,66,45576,7,0,9,90,1,Senior
141,65,30463,1,6,10,49,0,Senior
172,47,24769,10,7,1,66,1,Middle-aged
197,66,33194,10,5,9,70,1,Senior
148,53,11209,9,9,9,93,1,Middle-aged
168,51,15790,3,4,1,9,1,Middle-aged
200,79,43694,3,3,1,7,1,Senior
191,56,45101,4,8,5,70,1,Middle-aged
176,78,27787,9,2,1,32,1,Senior
193,88,25055,2,10,2,23,1,Senior
184,62,42573,10,9,0,61,1,Senior
189,75,14621,4,10,9,80,1,Senior
152,60,11288,1,9,2,7,1,Senior
193,77,48904,2,9,7,82,0,Senior
140,35,37351,0,3,5,80,1,Young
160,65,7096,8,3,2,99,0,Senior
166,88,6618,9,9,8,27,1,Senior
162,80,7886,5,10,7,35,1,Senior
144,33,36495,4,3,8,59,1,Young
160,21,38716,4,7,10,70,1,Young
199,71,11424,0,6,2,57,1,Senior
199,59,47330,9,0,5,38,0,Middle-aged
172,37,26751,6,3,7,12,1,Middle-aged
143,18,21055,10,1,10,86,1,Young
153,66,36677,6,1,4,5,0,Senior
179,64,29670,0,6,7,98,0,Senior
195,54,14001,3,4,10,94,1,Middle-aged
167,60,33757,5,0,8,87,0,Senior
186,41,41664,7,7,3,32,1,Middle-aged
152,23,25704,7,9,1,10,1,Young
190,22,44689,2,10,0,80,0,Young
173,40,14616,3,5,9,99,1,Middle-aged
185,26,38379,1,4,0,48,1,Young
172,45,7696,2,10,2,40,1,Middle-aged
151,31,31082,2,9,3,58,1,Young
157,32,35726,7,3,10,78,1,Young
178,82,8259,3,4,6,100,1,Senior
194,54,37587,8,5,8,87,1,Middle-aged
194,75,46492,9,2,3,94,1,Senior
150,87,42296,7,9,3,3,1,Senior
182,66,10057,8,5,10,69,1,Senior
192,50,37785,3,4,8,47,0,Middle-aged
173,62,32649,10,10,3,70,1,Senior
199,57,44174,8,5,0,22,1,Middle-aged
170,32,49850,4,0,6,29,1,Young
141,44,17347,2,4,1,29,1,Middle-aged
153,41,20194,5,3,3,1,1,Middle-aged
199,88,14395,8,2,0,3,1,Senior
170,47,21632,2,7,8,89,0,Middle-aged
192,58,40916,7,1,2,78,1,Middle-aged
184,46,42143,9,3,10,85,1,Middle-aged
162,82,16921,4,9,7,67,1,Senior
199,33,17849,6,8,2,74,1,Young
143,37,36140,0,7,6,48,1,Middle-aged
168,63,26244,8,5,9,58,1,Senior
171,58,39709,6,9,9,34,1,Middle-aged
161,52,36723,6,4,4,84,0,Middle-aged
154,74,47284,9,8,0,25,1,Senior
164,75,24619,6,6,1,24,1,Senior
176,44,48690,9,8,4,72,1,Middle-aged
170,51,7064,3,9,1,74,0,Middle-aged
159,72,35237,4,4,2,63,1,Senior
164,87,16167,9,4,3,8,1,Senior
182,44,11850,4,5,8,30,0,Middle-aged
172,87,48037,0,3,7,4,1,Senior
181,72,31896,4,3,4,73,0,Senior
181,75,9331,4,3,8,78,1,Senior
168,25,49670,10,0,7,1,1,Young
171,55,38731,6,4,10,53,1,Middle-aged
169,52,22326,9,0,2,62,1,Middle-aged
151,71,17153,1,0,2,50,1,Senior
154,21,28382,1,10,7,78,0,Young
185,79,23928,8,9,10,38,1,Senior
161,48,32594,6,5,4,91,1,Middle-aged
182,65,13548,5,9,6,64,1,Senior
193,18,37191,2,10,10,46,1,Young
191,71,10974,1,9,6,41,0,Senior
159,47,41939,9,9,10,94,1,Middle-aged
160,20,6904,7,1,3,1,1,Young
166,59,34639,0,3,0,59,1,Middle-aged
171,72,10669,5,9,7,69,1,Senior
184,30,47252,6,5,2,80,1,Young
153,40,43614,4,2,6,20,1,Middle-aged
189,41,20921,1,4,10,97,1,Middle-aged
194,81,9961,8,2,2,84,1,Senior
178,30,27453,5,2,7,79,0,Young
163,83,6899,9,7,6,53,1,Senior
193,41,48143,8,4,9,18,1,Middle-aged
172,49,41980,7,5,7,86,0,Middle-aged
200,79,7952,6,0,10,27,1,Senior
177,32,43709,7,6,4,10,1,Young
160,37,13506,7,2,3,48,0,Middle-aged
189,90,44447,4,4,8,10,1,Senior
156,75,29370,10,4,0,71,1,Senior
166,79,26233,6,4,4,13,1,Senior
175,51,19041,2,5,10,42,0,Middle-aged
196,36,49118,3,4,5,23,0,Middle-aged
153,74,21269,6,9,0,73,1,Senior
141,43,12491,1,1,3,55,1,Middle-aged
159,30,47337,0,4,4,59,0,Young
150,41,19717,7,2,4,61,1,Middle-aged
190,31,8598,3,5,5,25,0,Young
159,76,12970,6,3,3,64,0,Senior
157,52,11009,10,5,6,48,1,Middle-aged
180,85,12037,0,4,8,34,1,Senior
196,81,21200,10,0,7,12,1,Senior
190,79,24203,4,6,2,82,1,Senior
184,26,14814,8,4,10,42,1,Young
192,44,26223,7,6,5,37,1,Middle-aged
168,39,5071,0,9,2,78,1,Middle-aged
200,42,6985,6,6,8,28,1,Middle-aged
169,24,38903,8,7,2,98,1,Young
181,51,28746,1,4,8,73,1,Middle-aged
194,75,32737,4,0,0,34,0,Senior
195,51,15456,4,1,1,46,1,Middle-aged
192,23,49482,2,1,1,33,0,Young
182,63,33554,1,3,10,70,0,Senior
192,49,43429,0,7,1,20,0,Middle-aged
172,39,42433,2,9,2,1,1,Middle-aged
185,64,5121,9,0,7,92,1,Senior
183,23,14918,6,7,5,14,1,Young
143,39,19008,6,7,1,74,1,Middle-aged
188,27,10499,2,5,3,91,0,Young
159,26,19580,3,3,8,1,1,Young
188,66,46162,6,9,7,46,1,Senior
193,66,40381,1,10,8,22,1,Senior
176,35,20845,7,5,1,49,0,Young
184,77,9766,9,5,9,67,1,Senior
181,25,39387,7,0,6,25,0,Young
176,87,30321,8,7,2,13,1,Senior
193,79,24828,1,3,9,85,1,Senior
150,35,29773,5,2,5,12,1,Young
187,83,23447,8,1,3,14,0,Senior
199,64,28588,1,1,3,67,0,Senior
198,34,46657,4,7,7,1,0,Young
189,42,19258,9,9,10,69,1,Middle-aged
190,78,37010,4,7,9,35,1,Senior
155,79,41582,2,0,7,61,1,Senior
148,60,42506,9,3,4,82,1,Senior
173,47,22984,2,2,6,56,0,Middle-aged
187,27,19452,6,4,0,58,1,Young
165,21,11419,7,8,5,74,1,Young
173,59,43581,10,5,1,29,1,Middle-aged
186,68,49926,7,6,0,79,1,Senior
168,70,26066,9,6,10,91,1,Senior
177,58,37688,0,4,1,87,0,Middle-aged
162,59,41452,0,7,3,33,0,Middle-aged
157,78,43137,1,4,7,30,0,Senior
152,21,37658,4,1,9,24,1,Young
159,37,6276,4,5,0,25,1,Middle-aged
190,61,39598,10,9,2,96,1,Senior
140,77,27591,3,0,0,79,1,Senior
149,33,10388,3,0,2,34,0,Young
169,20,19901,2,6,8,56,1,Young
184,75,48969,6,9,6,45,1,Senior
152,71,27131,3,3,6,26,1,Senior
188,71,35262,1,0,7,55,0,Senior
151,52,47236,0,7,2,54,1,Middle-aged
148,80,7671,0,4,2,44,0,Senior
177,84,17420,3,6,5,12,1,Senior
149,53,45495,1,4,5,20,0,Middle-aged
188,38,10943,4,2,8,75,1,Middle-aged
186,24,5251,1,5,10,9,0,Young
146,69,42549,5,0,6,49,1,Senior
149,47,24581,9,5,10,65,1,Middle-aged
196,74,38290,3,5,2,1,1,Senior
152,49,36074,5,5,7,12,1,Middle-aged
161,49,9612,3,9,10,95,1,Middle-aged
161,20,31481,9,6,6,29,1,Young
185,29,40112,4,9,4,18,1,Young
143,59,41487,4,2,4,11,1,Middle-aged
194,39,30502,3,7,9,93,1,Middle-aged
168,39,15318,10,9,0,21,1,Middle-aged
148,27,5382,3,10,5,95,1,Young
187,83,21932,4,6,2,37,0,Senior
168,40,9295,10,0,7,61,1,Middle-aged
164,79,21196,0,6,6,83,1,Senior
161,62,36582,5,6,7,87,0,Senior
143,39,12983,2,9,2,11,1,Middle-aged
165,38,45069,2,8,3,19,1,Middle-aged
183,81,36115,1,1,1,18,0,Senior
180,67,36465,8,9,9,71,1,Senior
194,28,21458,8,4,7,47,0,Young
191,54,17627,7,0,3,27,0,Middle-aged
177,29,28347,0,9,7,45,1,Young
185,40,46984,6,8,6,80,1,Middle-aged
150,32,15611,7,8,9,16,1,Young
154,49,6444,3,10,1,61,1,Middle-aged
147,20,19390,1,1,4,45,1,Young
194,44,49765,9,9,6,64,1,Middle-aged
174,50,11470,1,10,0,89,1,Middle-aged
199,33,32114,8,10,0,39,1,Young
145,46,8220,0,7,5,74,1,Middle-aged
175,72,49423,8,3,3,90,0,Senior
194,85,6740,10,4,5,52,1,Senior
163,25,14650,10,5,1,25,1,Young
158,78,18002,3,4,9,55,1,Senior
189,42,15575,7,4,10,36,0,Middle-aged
167,72,9526,2,4,9,24,1,Senior
161,60,20775,5,7,5,91,1,Senior
186,90,26457,7,0,6,9,1,Senior
185,40,37157,1,8,3,91,0,Middle-aged
166,31,16705,2,3,0,38,1,Young
181,77,17973,3,10,8,98,1,Senior
150,84,23097,8,8,6,77,1,Senior
168,43,37527,0,1,1,86,1,Middle-aged
169,40,10475,8,6,10,24,1,Middle-aged
174,62,49155,7,1,10,13,1,Senior
157,64,24736,4,6,0,55,0,Senior
150,64,43275,4,6,10,79,1,Senior
181,29,8844,1,9,3,70,0,Young
152,24,25810,8,3,2,6,1,Young
183,23,23446,10,6,6,36,1,Young
162,34,16034,2,4,1,88,0,Young
189,47,12185,4,5,4,99,1,Middle-aged
148,85,12954,1,1,9,45,1,Senior
184,23,29470,9,5,0,64,1,Young
149,75,29472,1,3,1,71,1,Senior
157,43,32236,5,6,0,32,1,Middle-aged
154,59,43192,7,1,7,73,0,Middle-aged
180,80,6718,3,6,9,59,0,Senior
163,82,30562,0,10,8,22,1,Senior
199,81,46409,10,1,9,73,1,Senior
170,73,24639,1,1,8,12,0,Senior
181,46,37316,7,10,5,13,1,Middle-aged
146,90,18304,9,4,3,100,1,Senior
185,52,5610,10,3,1,65,1,Middle-aged
168,79,32161,3,4,6,17,0,Senior
159,18,37625,7,10,2,31,1,Young
197,40,32963,3,0,1,90,0,Middle-aged
191,74,39219,8,4,6,6,1,Senior
196,26,36361,6,10,3,15,1,Young
153,30,16358,10,4,4,96,1,Young
172,76,12207,2,8,2,53,0,Senior
153,40,30536,0,1,2,66,0,Middle-aged
146,89,41907,2,8,4,7,0,Senior
186,54,6419,0,1,2,80,1,Middle-aged
166,72,8840,7,3,0,97,1,Senior
184,69,31772,0,7,7,66,0,Senior
166,80,5092,9,4,9,6,1,Senior
193,49,10692,0,0,3,67,0,Middle-aged
178,18,7000,1,6,3,46,1,Young
184,86,22924,0,4,2,24,1,Senior
171,68,31206,1,2,3,86,0,Senior
194,25,14653,4,9,10,82,1,Young
164,73,23011,2,0,3,89,0,Senior
163,84,41408,8,6,8,60,1,Senior
177,55,49170,0,9,4,82,1,Middle-aged
145,70,5492,4,1,4,8,0,Senior
151,26,13508,2,6,4,42,1,Young
150,27,32352,5,9,0,84,1,Young
149,61,44252,0,10,8,77,1,Senior
173,63,40745,4,0,3,30,0,Senior
170,25,19941,10,0,7,86,1,Young
157,64,23965,10,5,8,89,1,Senior
142,63,45111,10,4,0,22,1,Senior
193,30,46963,4,4,6,42,1,Young
185,48,34839,5,1,2,87,1,Middle-aged
181,47,38615,8,5,7,20,1,Middle-aged
190,75,43783,2,9,3,14,1,Senior
190,83,28844,3,6,10,97,1,Senior
190,55,10473,10,3,10,48,1,Middle-aged
170,25,14578,10,7,1,9,1,Young
164,72,25131,1,6,9,66,1,Senior
141,57,36527,6,1,0,84,0,Middle-aged
140,47,20717,1,4,4,96,1,Middle-aged
189,79,18974,4,4,0,45,1,Senior
143,19,35956,4,4,8,5,1,Young
157,19,37108,4,10,5,68,1,Young
160,30,14147,7,0,9,82,1,Young
178,73,23703,7,0,10,94,0,Senior
168,83,8830,8,8,5,92,1,Senior
182,19,21290,0,2,5,37,1,Young
190,44,22829,0,9,3,36,0,Middle-aged
175,89,30224,9,1,10,63,1,Senior
187,42,18770,1,10,7,95,1,Middle-aged
164,38,38928,5,10,1,8,1,Middle-aged
177,83,38510,6,7,2,73,1,Senior
156,38,29169,4,1,5,4,0,Middle-aged
174,34,32314,5,9,9,75,1,Young
171,46,30867,10,8,4,2,1,Middle-aged
178,74,36666,0,8,8,88,1,Senior
158,64,41110,1,1,10,3,1,Senior
183,63,49237,7,7,7,8,1,Senior
178,80,47874,1,1,8,73,1,Senior
191,22,45109,5,4,4,90,0,Young
165,45,36902,4,1,5,82,1,Middle-aged
172,71,32843,8,1,5,18,1,Senior
144,71,40504,9,4,4,78,1,Senior
159,25,33780,1,9,10,50,0,Young
144,18,46998,9,10,9,28,1,Young
174,90,46294,3,6,9,17,0,Senior
154,72,49771,1,3,3,51,0,Senior
198,83,14652,3,5,2,74,0,Senior
161,54,27746,7,2,0,8,1,Middle-aged
153,69,47046,5,6,6,14,1,Senior
164,61,13590,10,0,8,54,1,Senior
172,44,17083,9,8,6,39,1,Middle-aged
193,86,20919,3,2,5,50,0,Senior
170,78,20998,2,7,5,49,0,Senior
158,72,26276,1,7,2,31,1,Senior
194,26,27205,8,8,3,69,1,Young
187,72,20518,9,0,8,54,0,Senior
175,74,31081,4,8,7,18,0,Senior
188,59,31541,5,8,8,2,1,Middle-aged
195,44,46902,7,5,1,49,1,Middle-aged
164,57,17904,0,6,3,26,0,Middle-aged
142,86,20281,1,4,10,90,0,Senior
167,64,41199,10,7,3,30,1,Senior
160,87,22044,6,10,10,58,1,Senior
177,57,19200,10,1,5,73,1,Middle-aged
169,81,27404,10,1,3,43,1,Senior
160,74,32756,3,3,2,26,0,Senior
189,46,47613,4,3,10,22,1,Middle-aged
146,37,29428,8,4,0,6,1,Middle-aged
152,18,41067,6,6,1,66,1,Young
140,62,35097,1,4,1,12,1,Senior
164,18,20544,2,1,6,22,1,Young
187,45,12730,8,0,10,41,1,Middle-aged
175,49,8118,5,1,2,73,0,Middle-aged
179,44,16186,5,2,8,1,1,Middle-aged
162,27,34620,9,7,10,66,1,Young
190,73,47602,8,1,10,30,1,Senior
177,66,31549,10,8,8,99,1,Senior
168,45,36776,9,3,4,13,1,Middle-aged
165,35,46303,7,5,2,96,1,Young
188,30,11791,7,6,6,96,1,Young
167,44,25236,6,8,2,79,1,Middle-aged
147,46,31356,1,2,3,99,1,Middle-aged
146,45,11504,1,6,8,17,1,Middle-aged
165,34,40675,4,0,7,9,0,Young
143,50,32135,10,4,8,34,1,Middle-aged
149,43,38354,5,4,6,61,1,Middle-aged
142,51,48823,7,5,10,63,1,Middle-aged
161,49,21062,3,7,0,9,1,Middle-aged
148,82,44886,5,0,0,58,1,Senior
144,25,32288,9,0,4,29,1,Young
146,80,24976,2,2,9,53,1,Senior
155,76,40596,6,2,10,42,1,Senior
195,55,45601,3,6,6,65,1,Middle-aged
160,80,35697,3,7,7,95,1,Senior
161,34,29262,7,4,0,61,1,Young
144,36,20468,3,5,9,51,0,Middle-aged
195,48,34645,9,0,3,58,1,Middle-aged
142,44,14421,4,4,3,49,0,Middle-aged
191,87,21585,10,0,0,49,0,Senior
158,27,48079,3,5,0,12,1,Young
167,41,46179,9,0,1,86,1,Middle-aged
146,59,46496,2,5,2,31,1,Middle-aged
146,75,10539,0,8,1,86,1,Senior
168,18,14658,1,6,2,35,1,Young
180,65,27331,6,0,9,83,0,Senior
190,84,17699,2,10,6,40,1,Senior
175,23,10251,1,0,1,91,0,Young
179,21,16732,10,8,4,37,1,Young
181,65,44800,10,0,8,80,1,Senior
198,50,44837,0,9,0,91,0,Middle-aged
195,76,46584,10,0,10,93,0,Senior
197,37,5307,8,9,10,31,1,Middle-aged
186,20,26759,7,10,5,62,1,Young
192,19,7250,8,10,10,43,1,Young
160,19,14546,6,1,10,24,1,Young
198,49,33879,6,10,9,93,1,Middle-aged
167,25,22565,10,5,0,30,1,Young
191,69,18783,8,6,3,32,1,Senior
195,77,35679,10,5,0,12,1,Senior
191,82,7933,10,1,10,98,1,Senior
195,31,20437,4,9,10,24,1,Young
179,71,45769,9,1,6,10,1,Senior
185,19,31030,3,1,5,6,1,Young
173,53,11810,7,8,9,64,1,Middle-aged
